,corr_dist,corr_pearson,corr_reldist,corr_spearman,exp,mean_dist,mean_mindist,mean_pearson,mean_reldist,mean_slopedist,mean_slopedistT,mean_spearman
0,1.7584873307,0.8823096811000001,0.466424636,0.48368333430000005,biocon,0.512691264,0.4904474695,0.885331972,0.6039237801,0.4904474695,0.6967497057,0.20267769230000002
1,1.7584873307,0.8823096811000001,0.41935578760000003,0.48368333430000005,biocon,0.512691264,0.2523448772,0.885331972,0.5132927739,0.5003203487,0.2523448772,0.20267769230000002
10,1.7584873307,0.8823096811000001,0.4806707327,0.48368333430000005,biocon,0.512691264,0.4386886728,0.885331972,0.5563743735000001,0.4386886728,0.4890402003,0.20267769230000002
100,2.44438289,0.9269241426,0.1023510524,0.3828105634,biocon,3.197841274,0.386320186,0.8424229752,0.386320186,0.5807817548,0.9984324742,0.9494651324000001
1000,1.6859047592,0.8378712771,0.6253183675,0.9399954115,simugaussS25,0.09574066020000001,0.6559955448,0.9578124951,0.8925371263,0.6841098649,0.6559955448,0.9761912775
1001,1.6859047592,0.8378712771,0.6217557974,0.9399954115,simugaussS25,0.09574066020000001,0.6559955448,0.9578124951,0.8925371263,0.6841098649,0.6559955448,0.9761912775
1002,1.6859047592,0.8378712771,0.6237367697,0.9399954115,simugaussS25,0.09574066020000001,0.6559955448,0.9578124951,0.8925371263,0.6841098649,0.6559955448,0.9761912775
1003,1.6859047592,0.8378712771,0.6213993048,0.9399954115,simugaussS25,0.09574066020000001,0.6559955448,0.9578124951,0.8925371263,0.6841098649,0.6559955448,0.9761912775
1004,1.6859047592,0.8378712771,0.6258353822,0.9399954115,simugaussS25,0.09574066020000001,0.6559955448,0.9578124951,0.8925371263,0.6841098649,0.6559955448,0.9761912775
1005,1.6859047592,0.8378712771,0.6234201347,0.9399954115,simugaussS25,0.09574066020000001,0.6559955448,0.9578124951,0.8925371263,0.6841098649,0.6559955448,0.9761912775
1006,1.6859047592,0.8378712771,0.6276588125,0.9399954115,simugaussS25,0.09574066020000001,0.6559955448,0.9578124951,0.8925371263,0.6841098649,0.6559955448,0.9761912775
1007,1.6859047592,0.8378712771,0.6233426662,0.9399954115,simugaussS25,0.09574066020000001,0.6559955448,0.9578124951,0.8925371263,0.6841098649,0.6559955448,0.9761912775
1008,1.6859047592,0.8378712771,0.6235996827,0.9399954115,simugaussS25,0.09574066020000001,0.6559955448,0.9578124951,0.8925371263,0.6841098649,0.6559955448,0.9761912775
1009,1.6859047592,0.8378712771,0.6251567909,0.9399954115,simugaussS25,0.09574066020000001,0.6559955448,0.9578124951,0.8925371263,0.6841098649,0.6559955448,0.9761912775
